uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,7
AC,OUTRAS,DOMICILIO,"< 9",M,17
AC,OUTRAS,HOSPITAL,"< 9",F,48
AC,OUTRAS,HOSPITAL,"< 9",M,81
AC,OUTRAS,IGNORADO,"< 9",M,1
AC,OUTRAS,OUTRO,"< 9",F,3
AC,OUTRAS,OUTRO,"< 9",M,7
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,8
AC,PNEUMONIA,DOMICILIO,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,26
AC,PNEUMONIA,HOSPITAL,"< 9",M,41
AC,PNEUMONIA,IGNORADO,"< 9",M,1
AC,PNEUMONIA,OUTRO,"< 9",F,1
AC,PNEUMONIA,OUTRO,"< 9",M,2
AC,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,42
AC,SEPTICEMIA,HOSPITAL,"< 9",M,49
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,SRAG,HOSPITAL,"< 9",F,2
AL,OUTRAS,DOMICILIO,"< 9",F,10
AL,OUTRAS,DOMICILIO,"< 9",M,18
AL,OUTRAS,HOSPITAL,"< 9",F,244
AL,OUTRAS,HOSPITAL,"< 9",I,4
AL,OUTRAS,HOSPITAL,"< 9",M,281
AL,OUTRAS,IGNORADO,"< 9",M,2
